industry,brand,content_type,hour,dayofweek,nbrhashtags,captionlength,followers,engagementRate
patisserie,lamaisongourmandise,carousel,8,3,0,140,126482,0.0245094163596401
patisserie,lamaisongourmandise,photo,8,0,0,134,126482,0.0442750747141885
patisserie,lamaisongourmandise,carousel,9,3,0,395,126482,0.011859395012729
patisserie,lamaisongourmandise,carousel,9,4,0,245,126482,0.0189750320203665
patisserie,lamaisongourmandise,carousel,10,0,0,64,126482,0.0300438006989136
patisserie,lamaisongourmandise,carousel,8,0,0,131,126482,0.0324156797014595
patisserie,lamaisongourmandise,reel,11,3,0,313,126482,0.0909220284309229
patisserie,lamaisongourmandise,reel,8,5,0,267,126482,0.076690754415648
patisserie,lamaisongourmandise,carousel,9,4,0,107,126482,0.0142312740152749
patisserie,lamaisongourmandise,reel,12,2,0,532,126482,0.1146408184563811
patisserie,lamaisongourmandise,carousel,8,2,0,188,126482,0.0150219003494568
patisserie,lamaisongourmandise,carousel,9,5,0,129,126482,0.051390711721826
patisserie,lamaisongourmandise,carousel,13,5,0,149,126482,0.0205562846887304
patisserie,lamaisongourmandise,photo,10,6,0,209,126482,0.0197656583545484
patisserie,lamaisongourmandise,carousel,9,1,0,67,126482,0.0189750320203665
patisserie,lamaisongourmandise,carousel,9,0,0,182,126482,0.0917126547651049
patisserie,lamaisongourmandise,carousel,9,3,0,196,126482,0.0332063060356414
patisserie,lamaisongourmandise,carousel,9,2,0,66,126482,0.0332063060356414
patisserie,lamaisongourmandise,reel,9,3,0,39,126482,0.0237187900254581
patisserie,lamaisongourmandise,photo,9,3,0,585,126482,0.0284625480305498
patisserie,lamaisongourmandise,photo,18,1,0,49,126482,0.0292531743647317
patisserie,lamaisongourmandise,carousel,9,4,0,431,126482,0.0411125693774608
patisserie,lamaisongourmandise,carousel,6,5,0,530,126482,0.037950064040733
patisserie,lamaisongourmandise,photo,10,4,0,286,126482,0.0339969323698233
patisserie,lamaisongourmandise,carousel,13,0,0,215,126482,0.5162789962208062
patisserie,lamaisongourmandise,reel,9,2,0,366,126482,0.0964564127701965
patisserie,lamaisongourmandise,carousel,10,0,0,131,126482,0.0110687686785471
patisserie,lamaisongourmandise,carousel,11,1,0,147,126482,0.0371594377065511
patisserie,lamaisongourmandise,reel,16,2,0,276,126482,0.0687844910738286
patisserie,lamaisongourmandise,reel,19,4,0,268,126482,0.8973608892965007
patisserie,lamaisongourmandise,reel,19,1,0,146,126482,3.383090083964517
patisserie,lamaisongourmandise,reel,7,5,0,426,126482,0.0450657010483705
patisserie,lamaisongourmandise,carousel,16,2,0,165,126482,0.0316250533672775
patisserie,lamaisongourmandise,carousel,16,4,0,261,126482,0.0300438006989136
patisserie,lamaisongourmandise,reel,12,4,0,367,126482,0.064040733068737
patisserie,lamaisongourmandise,reel,9,2,0,642,126482,0.1628690248414794
patisserie,lamaisongourmandise,photo,8,2,0,225,126482,0.0197656583545484
patisserie,lamaisongourmandise,carousel,9,6,0,248,126482,0.0537625907243718
patisserie,lamaisongourmandise,carousel,11,3,0,118,126482,0.0624594804003731
patisserie,lamaisongourmandise,photo,13,4,0,151,126482,0.0110687686785471
patisserie,lamaisongourmandise,photo,9,5,0,195,126482,0.0284625480305498
patisserie,lamaisongourmandise,carousel,17,1,0,361,126482,0.0624594804003731
patisserie,lamaisongourmandise,carousel,6,1,0,99,126482,0.0260906690280039
patisserie,lamaisongourmandise,photo,8,6,0,731,126482,0.0229281636912762
patisserie,lamaisongourmandise,photo,19,2,0,145,126482,0.0158125266836387
patisserie,lamaisongourmandise,carousel,7,4,0,156,126482,0.051390711721826
