brand,hour,is_weekend,followers,likes,comments,engagementRate,brand_avg_engagement,relative_engagement,posting_frequency,nbrhashtags,captionlength,ind_BEAUTY,ind_FASHION,ind_HOTELS,ind_PATISSERIE,ind_RESTAURANTS,ctype_carousel,ctype_image,ctype_reel,dow_0,dow_1,dow_2,dow_3,dow_4,dow_5,dow_6
patisseriemasmoudi,19,0,146846,34.0,0.0,0.023153507756425096,0.20387926383119384,0.1135647996825981,1.5730337078651686,5,273,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
patisseriemasmoudi,17,0,146846,38.0,4.0,0.028601391934407472,0.20387926383119384,0.14028592901968,1.5730337078651686,5,373,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
patisseriemasmoudi,17,1,146846,200.0,2.0,0.137559075494055,0.20387926383119384,0.6747085157613182,1.5730337078651686,4,256,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
patisseriemasmoudi,14,1,146846,303.0,8.0,0.21178649741906488,0.20387926383119384,1.0387839029790593,1.5730337078651686,5,192,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
patisseriemasmoudi,17,0,146846,18.0,0.0,0.012257739400460346,0.20387926383119384,0.06012254100843429,1.5730337078651686,5,313,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
patisseriemasmoudi,16,0,146846,92.0,2.0,0.06401263909129291,0.20387926383119384,0.3139732697107124,1.5730337078651686,10,323,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
patisseriemasmoudi,15,0,146846,68.0,1.0,0.046988001035097995,0.20387926383119384,0.23046974053233146,1.5730337078651686,10,296,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
patisseriemasmoudi,17,0,146846,298.0,2.0,0.20429565667433913,0.20387926383119384,1.0020423501405717,1.5730337078651686,10,276,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
patisseriemasmoudi,17,1,146846,77.0,2.0,0.053797856257575966,0.20387926383119384,0.26387115220368385,1.5730337078651686,9,257,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
patisseriemasmoudi,12,0,146846,91.0,1.0,0.06265066804679732,0.20387926383119384,0.30729298737644195,1.5730337078651686,10,273,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
patisseriemasmoudi,17,0,146846,217.0,100.0,0.21587241055255166,0.20387926383119384,1.0588247499818706,1.5730337078651686,0,274,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
patisseriemasmoudi,15,0,146846,49.0,4.0,0.03609223267913324,0.20387926383119384,0.1770274818581676,1.5730337078651686,9,204,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
patisseriemasmoudi,19,0,146846,155.0,11.0,0.11304359669313431,0.20387926383119384,0.5544634337444496,1.5730337078651686,5,201,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
patisseriemasmoudi,18,0,146846,29.0,0.0,0.019748580145186115,0.20387926383119384,0.09686409384692192,1.5730337078651686,7,255,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
patisseriemasmoudi,18,0,146846,25.0,0.0,0.017024638056194925,0.20387926383119384,0.08350352917838097,1.5730337078651686,10,308,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
patisseriemasmoudi,13,1,146846,112.0,12.0,0.08444220475872682,0.20387926383119384,0.41417750472476955,1.5730337078651686,9,341,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
patisseriemasmoudi,14,1,146846,151.0,12.0,0.11100064012639092,0.20387926383119384,0.544443010243044,1.5730337078651686,5,194,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
patisseriemasmoudi,8,0,146846,30.0,1.0,0.021110551189681706,0.20387926383119384,0.10354437618119239,1.5730337078651686,10,552,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
patisseriemasmoudi,17,0,146846,95.0,3.0,0.06673658118028411,0.20387926383119384,0.3273338343792534,1.5730337078651686,5,286,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
patisseriemasmoudi,19,1,146846,189.0,2.0,0.13006823474932921,0.20387926383119384,0.6379669629228305,1.5730337078651686,5,126,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
patisseriemasmoudi,19,0,146846,52.0,1.0,0.03609223267913324,0.20387926383119384,0.1770274818581676,1.5730337078651686,5,163,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
patisseriemasmoudi,19,1,146846,96.0,3.0,0.0674175667025319,0.20387926383119384,0.3306739755463886,1.5730337078651686,10,545,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
patisseriemasmoudi,14,1,146846,147.0,2.0,0.10146684281492176,0.20387926383119384,0.49768103390315055,1.5730337078651686,9,231,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
patisseriemasmoudi,15,0,146846,58.0,0.0,0.03949716029037223,0.20387926383119384,0.19372818769384384,1.5730337078651686,10,425,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
patisseriemasmoudi,17,0,146846,206.0,14.0,0.14981681489451534,0.20387926383119384,0.7348310567697525,1.5730337078651686,5,335,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
patisseriemasmoudi,15,0,146846,72.0,2.0,0.05039292864633698,0.20387926383119384,0.24717044636800767,1.5730337078651686,10,269,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
patisseriemasmoudi,16,0,146846,55.0,1.0,0.03813518924587663,0.20387926383119384,0.18704790535957336,1.5730337078651686,6,285,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
patisseriemasmoudi,15,1,146846,295.0,1.0,0.20157171458534792,0.20387926383119384,0.9886817854720307,1.5730337078651686,10,535,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
patisseriemasmoudi,9,0,146846,10.0,1.0,0.0074908407447257675,0.20387926383119384,0.03674155283848762,1.5730337078651686,5,849,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
patisseriemasmoudi,20,1,146846,285.0,16.0,0.2049766421965869,0.20387926383119384,1.0053824913077067,1.5730337078651686,10,347,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
patisseriemasmoudi,18,0,146846,96.0,2.0,0.06673658118028411,0.20387926383119384,0.3273338343792534,1.5730337078651686,9,234,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
patisseriemasmoudi,18,0,146846,119.0,1.0,0.08171826266973564,0.20387926383119384,0.40081694005622864,1.5730337078651686,10,363,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
patisseriemasmoudi,18,0,146846,48.0,3.0,0.034730261634637646,0.20387926383119384,0.17034719952389715,1.5730337078651686,0,129,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
patisserie_h_by_omar,15,1,613877,28.0,0.0,0.004561174306905129,0.09923812099166446,0.04596191726854892,1.1290322580645162,0,137,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
patisserie_h_by_omar,16,0,613877,222.0,2.0,0.036489394455241034,0.09923812099166446,0.36769533814839134,1.1290322580645162,0,51,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
patisserie_h_by_omar,16,1,613877,58.0,4.0,0.01009974310814707,0.09923812099166446,0.10177281680892973,1.1290322580645162,0,262,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
patisserie_h_by_omar,11,0,613877,359.0,10.0,0.06010976140171403,0.09923812099166446,0.6057124097176625,1.1290322580645162,0,135,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
